ECG_R_Peaks,ECG_P_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_T_Peaks,QRS,RR Interval
5.914799148,0.265006644,-1.48785094,-0.887207831,-0.049260075,15,284
6.192164683,0.286423836,-1.503708214,-1.092263248,-0.35094652,15,294
6.440866907,0.235390318,-1.40714861,-1.083311089,-0.380129606,15,292
6.301056438,0.343096849,-1.415536653,-1.011329929,-0.200000486,15,283
6.184416945,0.090032768,-1.392491122,-1.394242193,-0.461960757,14,288
5.727645067,-0.140179945,-1.841133958,-1.668889544,-1.005161039,16,289
6.340870698,0.01605313,-1.447046488,-1.543928768,-0.99721197,16,301
6.936030239,-0.136892185,-1.399529946,-1.030548462,-0.293490651,17,285
6.089565329,-0.431928257,-1.224267749,-1.418076644,-0.180049854,13,284
6.023311945,-0.377448524,-1.960545977,-1.673171968,-0.511110613,19,295
6.270463343,-0.165022308,-1.377441148,-1.384222989,-0.421241971,14,280
6.761110079,0.29272144,-1.425339226,-1.253590793,-0.273290746,16,289
6.309366499,0.41350425,-1.549795585,-0.973264078,-0.171021728,15,292
6.099677419,0.221218902,-1.838356253,-1.27306071,-0.115213697,16,297
5.540645789,0.09374102,-1.69853327,-1.22375952,-0.395775362,16,303
6.150002617,-0.569400168,-1.373888951,-1.382081384,-0.271416627,15,300
6.047581372,0.562676004,-1.434622167,-0.860303254,-0.011856829,15,282
6.341547958,0.447434309,-1.724157621,-0.674113278,0.092031995,15,278
6.79474736,-0.086954408,-0.979736152,-0.705700921,0.056772563,15,283
6.282226086,0.590779334,-1.144374695,-0.642216562,0.219454734,14,297
6.491876842,0.370648863,-1.544450486,-1.627865027,-0.348994549,23,299
6.372478756,0.086204719,-1.767501805,-1.193652333,-0.36937098,18,299
6.307999162,0.147658875,-1.504528705,-1.213723437,-0.280145989,16,296
6.592066944,0.682348659,-1.390141477,-0.947643228,-0.003433305,18,309
6.602194934,0.048296594,-1.193513315,-0.574672933,-0.117372715,16,305
6.500840337,0.437377392,-1.170835983,-1.008435301,-0.084302249,15,283
6.214614752,0.044116687,-1.803995945,-1.249554316,-0.221102008,18,291
6.392583342,-0.500488356,-0.9827931,-1.103027814,-0.197971329,16,301
7.06474323,0.350460705,-1.253693532,-0.849907683,0.176713482,16,295
7.128882354,0.682138008,-1.356830506,-0.706483364,-0.343939789,15,298
6.308393157,0.354638479,-1.065970131,-1.124224101,-0.040593103,16,287
6.519209492,-0.247038101,-0.921249952,-1.107898504,-0.026257786,14,281
7.086726537,0.461028003,-0.895343325,-1.068349262,-0.427008897,14,280
6.588757501,0.024865559,-1.44538253,-1.459254607,-0.158840443,17,311
6.791222563,0.380611582,-1.771603543,-0.830240385,-0.517593706,17,299
6.630362287,0.295206321,-0.990363328,-1.118088438,-0.700661849,15,289
6.784135378,0.534351007,-1.250911721,-1.004355632,-0.474174951,15,285
6.401914656,-0.088179698,-1.342833357,-0.961935055,-0.317138372,15,302
6.398579041,-0.483252898,-1.002479496,-1.245165363,-0.195602876,14,286
5.77496829,-0.051272406,-1.467997325,-1.480052321,-0.415066872,15,299
6.320153363,0.226826676,-1.240932197,-1.196287961,-0.186908073,15,287
6.187814119,-0.042580313,-1.221955493,-0.930413856,-0.216084839,15,293
5.972247565,0.132764831,-1.712612397,-1.138661733,-0.123694179,16,305
6.679164034,0.356477205,-1.426743125,-1.24625481,-0.129274631,16,296
5.648357326,-0.116073344,-1.412371244,-0.879259957,-0.313230029,15,280
6.198535044,-0.287293161,-1.84348548,-1.483902528,-0.339977939,16,274
5.284705892,-0.502540498,-2.048446918,-2.027697063,-0.696039571,17,297
5.56841604,-0.200527918,-2.133578762,-1.077318272,-0.599908597,16,284
6.108673329,-0.056685749,-1.615030052,-1.271016812,-0.470339152,15,280
6.568374356,-0.061127952,-1.527037339,-1.54414154,-0.227002257,14,274
6.107459249,0.283410913,-1.513727571,-1.042605291,-0.166272558,15,283
6.115328664,0.012786489,-1.667321254,-1.504892482,-0.421947958,18,295
6.496584208,0.45886528,-1.27003836,-0.557758285,-0.072864713,17,305
6.00889955,0.293408311,-1.124112185,-1.03869505,-0.165162604,16,291
6.233337366,-0.169279656,-1.395778607,-0.987156892,-0.275201606,16,277
6.291373367,0.343935575,-1.199054001,-1.145893818,-0.419306479,16,290
5.954981384,0.106207668,-1.083778834,-1.165892436,-0.149059103,14,278
6.038653189,0.100680827,-1.692084723,-0.938843778,-0.266610241,16,279
6.444860423,0.387143148,-1.190839877,-1.263635349,0.100501209,14,278
5.951193291,-0.27029414,-1.160840211,-1.425866172,-0.115166772,17,280
6.061556408,0.084043637,-1.128604648,-1.207517421,-0.279775931,16,278
6.131332625,-0.266420116,-1.667534813,-1.299628298,-0.395339386,19,292
5.974739971,0.068597249,-1.499582511,-1.058433023,-0.100636731,17,298
6.740948134,0.366042927,-1.019014533,-0.689836533,0.029172144,15,298
6.339318386,0.497858128,-1.373694258,-1.090935169,-0.334515761,20,305
5.789436495,0.052810285,-0.971842039,-1.026157325,-0.249352346,14,287
6.337534097,-0.076841556,-0.923698316,-1.183501405,-0.115861314,15,290
6.566007023,0.179231488,-1.634223393,-1.129961537,-0.134863338,16,298
6.646451954,0.511618643,-0.808133311,-0.589810978,-0.257851826,14,290
5.93501706,0.572897741,-0.999149108,-0.932669398,-0.348830579,16,286
